原审计ID,名称,目标功能,所属规则章节,关联GP_RP参数,声称的实现文件,实际找到的实现符号,调用方,测试文件,测试用例,运行证据,当前状态,历史证据等级（legacy EV）,缺失内容,阻塞依赖,建议优先级,原审计状态,原审计声明,原审计边界
AU-081,Episode,单局/整场长 episode、合法跨局状态继承,程序实现规范：第 11—19 章 / 11.5 Episode,RP-024～RP-032,engine/audit.py,engine/audit.py:77::DecisionAuditWriter; engine/audit.py:115::record_decision; engine/audit.py:240::verify_audit,engine/orchestrator.py:140::DecisionAuditWriter; players/humanlike/audit_replay.py:32::verify_audit,tests/humanlike_v2/test_audit_replay.py,tests/humanlike_v2/test_audit_replay.py::test_writer_verifier_and_footer_contract; tests/humanlike_v2/test_audit_replay.py::test_tampering_and_truncation_are_detected; tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action; tests/humanlike_v2/test_audit_replay.py::test_runner_audit_verifies_and_policy_replays,docs/status/F0028_5_ACCEPTANCE_2026-07-29.md::自动验收/9294决策复演（report-only）,PARTIAL,EV3,单局 episode 完成；带跨局认知/比分的长 episode 训练接口未完整实现,无已识别硬阻塞,P0,部分完成,env 单局、session 多局分数,单局 episode 完成；带跨局认知/比分的长 episode 训练接口未完整实现
AU-082,事件日志,每原子事件写 public payload、private hash、state before/after/config hash,程序实现规范：第 11—19 章 / 12.1 事件日志,RP-024～RP-032,engine/audit.py,engine/audit.py:77::DecisionAuditWriter; engine/audit.py:115::record_decision; engine/audit.py:240::verify_audit,engine/orchestrator.py:140::DecisionAuditWriter; players/humanlike/audit_replay.py:32::verify_audit,tests/humanlike_v2/test_audit_replay.py,tests/humanlike_v2/test_audit_replay.py::test_writer_verifier_and_footer_contract; tests/humanlike_v2/test_audit_replay.py::test_tampering_and_truncation_are_detected; tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action; tests/humanlike_v2/test_audit_replay.py::test_runner_audit_verifies_and_policy_replays,docs/status/F0028_5_ACCEPTANCE_2026-07-29.md::自动验收/9294决策复演（report-only）,PARTIAL,EV3,decision audit 有 hash 链；未形成一套完全覆盖所有原子规则事件的统一日志,无已识别硬阻塞,P3,部分完成,legacy episode/steps + Audit v1,decision audit 有 hash 链；未形成一套完全覆盖所有原子规则事件的统一日志
AU-083,AI 决策日志,view、记忆、注意、计划、legal/candidate/checked/score/stop/RNG/action/time,程序实现规范：第 11—19 章 / 12.2 AI 决策日志,RP-024～RP-032,engine/audit.py; players/humanlike/audit_replay.py,engine/audit.py:77::DecisionAuditWriter; engine/audit.py:115::record_decision; engine/audit.py:240::verify_audit; players/humanlike/audit_replay.py:27::replay_humanlike_audit,engine/orchestrator.py:140::DecisionAuditWriter; players/humanlike/audit_replay.py:32::verify_audit,tests/humanlike_v2/test_audit_replay.py,tests/humanlike_v2/test_audit_replay.py::test_writer_verifier_and_footer_contract; tests/humanlike_v2/test_audit_replay.py::test_tampering_and_truncation_are_detected; tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action; tests/humanlike_v2/test_audit_replay.py::test_runner_audit_verifies_and_policy_replays,docs/status/F0028_5_ACCEPTANCE_2026-07-29.md::自动验收/9294决策复演（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：private audit 可验证/篡改检测；需按敏感文件管理，未提供公开脱敏导出,无已识别硬阻塞,P2,完成,DecisionTrace v2、Audit v1,private audit 可验证/篡改检测；需按敏感文件管理，未提供公开脱敏导出
AU-084,确定性回放,同配置/seed/策略/事件得到同墙、状态、动作、结算,程序实现规范：第 11—19 章 / 12.3 确定性回放,GP-001～GP-027,players/base_player.py; engine/session.py,players/base_player.py:13::BasePlayer; players/base_player.py:34::observe; engine/session.py:33::GameSession; engine/session.py:68::apply; engine/session.py:161::play_random_game,main.py:144::GameSession; engine/orchestrator.py:208::GameSession; engine/session.py:200::GameSession; players/analysis/predict_eval.py:156::GameSession; training/env.py:390::GameSession,tests/test_blood_battle.py,tests/test_blood_battle.py::test_b10_random_games_terminate; tests/test_blood_battle.py::test_b11_more_random; tests/test_blood_battle.py::test_session_wrapper,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,PARTIAL,EV3,策略输入序列复演和 state hash 证据很强；完整事件重演仍分散在 legacy steps,无已识别硬阻塞,P1,部分完成,game_id tests、audit replay、60 局 9294 决策复演,策略输入序列复演和 state hash 证据很强；完整事件重演仍分散在 legacy steps
AU-085,核心接口,RuleEngine/ViewBuilder/Policy/Scoring 的清晰接口,程序实现规范：第 11—19 章 / 13.1–13.4 接口,GP-001～GP-027,training/env.py,training/env.py:54::ChengduMahjongEnv; training/env.py:130::reset; training/env.py:200::step,training/env.py:752::ChengduMahjongEnv; training/spaces.py:1::ChengduMahjongEnv,tests/humanlike_v2/test_training_contract_v2.py; tests/test_env.py,tests/humanlike_v2/test_training_contract_v2.py::test_v2_observation_shapes_and_no_hidden_fields; tests/humanlike_v2/test_training_contract_v2.py::test_v2_fixed_index_and_shaping_off; tests/humanlike_v2/test_training_contract_v2.py::test_v2_shaping_is_separate_from_true_score; tests/humanlike_v2/test_training_contract_v2.py::test_illegal_raise_preserves_state_and_terminate_penalizes; tests/humanlike_v2/test_training_contract_v2.py::test_v1_integer_semantics_remain_legal_list_index; tests/test_env.py::test_e01_reset_returns_obs_with_legals; tests/test_env.py::test_e03_illegal_action_raises; tests/test_env.py::test_e04_same_game_id_dealt_hands,docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：接口为项目原生 Python 形态，不照搬 TypeScript 示例；功能边界等价,无已识别硬阻塞,P1,完成,Python 模块函数、GameSession、BasePlayer、DecisionResult,接口为项目原生 Python 形态，不照搬 TypeScript 示例；功能边界等价
AU-086,训练接口,reset/step/mask/clone/restore、多玩家 ActionMap,程序实现规范：第 11—19 章 / 13.5 训练接口,RP-030～RP-032,engine/invariants.py; engine/state.py,engine/invariants.py:45::assert_event_boundary; engine/invariants.py:26::ownership_regions; engine/state.py:195::GameState; engine/state.py:89::PlayerState; engine/state.py:51::from_dict,engine/state.py:449::assert_event_boundary; engine/invariants.py:73::ownership_regions; engine/deal.py:61::GameState; engine/deal.py:52::PlayerState,tests/humanlike_v2/test_invariants.py; tests/humanlike_v2/test_state_v5_migration.py; tests/test_exchange_dingque.py; tests/test_reward.py; tests/test_state_serde.py,tests/humanlike_v2/test_invariants.py::test_ready_state_owns_every_physical_tile_once; tests/humanlike_v2/test_invariants.py::test_duplicate_ownership_reports_structured_failure; tests/humanlike_v2/test_state_v5_migration.py::test_legacy_migration_is_deterministic_and_non_mutating; tests/humanlike_v2/test_state_v5_migration.py::test_bad_legacy_state_fails_instead_of_guessing; tests/test_exchange_dingque.py::test_t12_v1_dealt_readable; tests/test_reward.py::test_rw02_rank_bonus; tests/test_state_serde.py::test_t08_dict_roundtrip; tests/test_state_serde.py::test_strict_rejects_bad_hand_sizes,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）,PARTIAL,EV3,单 learner reset/step/mask 完成；公开 clone/restore 和多玩家 ActionMap 未实现,无已识别硬阻塞,P0,部分完成,env reset/step/mask,单 learner reset/step/mask 完成；公开 clone/restore 和多玩家 ActionMap 未实现
AU-087,每事件断言,守恒、张数、actor、HU_EXITED、清缺、legal、view、账本、状态机,程序实现规范：第 11—19 章 / 14.1 每事件断言,无直接GP/RP；测试追踪,engine/legal.py; players/humanlike/candidates.py; protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; engine/score.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py; tests/test_analysis.py,tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap; tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts; tests/test_analysis.py::test_an03_strategy_best_min_shanten,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,关键守恒/泄漏/legal 有强证据；不是所有事件都统一自动执行十项断言,无已识别硬阻塞,P0,部分完成,invariants/state/legal/view/audit,关键守恒/泄漏/legal 有强证据；不是所有事件都统一自动执行十项断言
AU-088,单元测试清单,换牌、定缺、碰杠胡、多响、过胡、终局结算、回放等,程序实现规范：第 11—19 章 / 14.2 单元测试清单,无直接GP/RP；测试生成,engine/exchange.py; engine/opening.py; engine/legal.py; players/humanlike/evaluator.py; engine/blood_battle.py; engine/session.py; engine/orchestrator.py,engine/exchange.py:57::validate_exchange_tiles; engine/exchange.py:76::resolve_exchange_tiles; engine/exchange.py:38::resolve_exchange_direction; engine/opening.py:91::begin_opening; engine/opening.py:157::submit_exchange; engine/opening.py:176::submit_dingque; engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards,engine/exchange.py:87::validate_exchange_tiles; engine/opening.py:218::validate_exchange_tiles; engine/orchestrator.py:463::validate_exchange_tiles; training/env.py:485::validate_exchange_tiles; engine/opening.py:123::resolve_exchange_tiles; engine/opening.py:55::resolve_exchange_direction,tests/test_analysis.py; tests/test_exchange_dingque.py,tests/test_analysis.py::test_an03_strategy_best_min_shanten; tests/test_exchange_dingque.py::test_t02_auto_dice_mapping; tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque; tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles; tests/test_exchange_dingque.py::test_t04_multiset_transfer; tests/test_exchange_dingque.py::test_t05_illegal_exchange; tests/test_exchange_dingque.py::test_t06_overwrite_pending; tests/test_exchange_dingque.py::test_t07_fixed_clockwise,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,大多数主路径覆盖；最后若干张强制胡、过胡恢复矩阵、查大叫/退税/呼叫转移等直接用例不足,无已识别硬阻塞,P1,部分完成,358 pytest 分布于 engine/humanlike/training,大多数主路径覆盖；最后若干张强制胡、过胡恢复矩阵、查大叫/退税/呼叫转移等直接用例不足
AU-089,属性测试,随机合法局验证守恒、mask、泄漏、复现,程序实现规范：第 11—19 章 / 14.3 属性测试,无直接GP/RP；测试生成,engine/legal.py; players/humanlike/candidates.py; protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; players/humanlike/config.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py; tests/test_analysis.py,tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap; tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts; tests/test_analysis.py::test_an03_strategy_best_min_shanten,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,达到属性式目标，但未使用系统化 property-based 生成/缩减框架，状态空间覆盖不可量化,无已识别硬阻塞,P0,部分完成,随机批跑、参数化 2/3/4 人、固定 seed,达到属性式目标，但未使用系统化 property-based 生成/缩减框架，状态空间覆盖不可量化
AU-090,章节对照测试,每个源规则章节固定 GP/RP 案例与不同 profile 允许行为集,程序实现规范：第 11—19 章 / 14.4 章节对照测试,"GP-001～GP-027, RP-001～RP-033",players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,SCAFFOLDED,EV1,没有一套第 0～18 章逐章编号的完整 golden-case 测试库；本报告不能替代可执行对照测试,无已识别硬阻塞,P3,未实现,分散单测、F0028 验收,没有一套第 0～18 章逐章编号的完整 golden-case 测试库；本报告不能替代可执行对照测试
AU-091,回归指标,规则率、复现率、打法指标、风格差异、真人分布对比,程序实现规范：第 11—19 章 / 14.5 回归指标,RP-030～RP-033,protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; players/humanlike/cognition.py; players/humanlike/policy.py; engine/physical_tile.py,protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw; players/humanlike/view.py:66::build_decision_context; players/humanlike/view.py:19::DecisionContext,protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict; players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping; players/humanlike/player.py:93::build_decision_context,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,工程质量指标已具备；规则差异率、风格统计显著性和真人牌谱差异未报告,缺少已批准的外部能力/数据；合规真人数据与冻结评估集未找到,P2,部分完成,metrics_v2、批跑零非法/泄漏/守恒、性能报告,工程质量指标已具备；规则差异率、风格统计显著性和真人牌谱差异未报告
AU-092,源规则追踪,章节→GP/RP→模块；每参数 consumer/test；派生特征来源/版本/索引,程序实现规范：第 11—19 章 / 15. 源规则追踪,"GP-001～GP-027, RP-001～RP-033",players/humanlike/traceability.py,players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer,players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer; players/humanlike/traceability.py:49::_rp_consumer,未找到,未找到,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,PARTIAL,EV2,未找到同时调用候选符号并含有效断言的测试；GP/RP 参数追踪完整；派生特征没有全部声明 formula version、visibility、normalization 和训练索引,当前Windows .venv不可执行，无法补做当前运行验证,P0,部分完成,60 条 PARAMETER_TRACES、F0028 文档,GP/RP 参数追踪完整；派生特征没有全部声明 formula version、visibility、normalization 和训练索引
AU-093,项目结构,领域分层且规则/AI/训练/回放分开,程序实现规范：第 11—19 章 / 16. 项目结构,无直接GP/RP；架构约束,players/humanlike/hand_analyzer.py; engine/shanten.py; engine/win_check.py; engine/audit.py; players/humanlike/audit_replay.py; engine/replay.py; engine/orchestrator.py,players/humanlike/hand_analyzer.py:51::analyze_action; players/humanlike/hand_analyzer.py:29::visible_hand; players/humanlike/hand_analyzer.py:17::HandFeatures; engine/shanten.py:272::shanten; engine/win_check.py:21::WinForm; engine/win_check.py:27::WinCheckResult; engine/audit.py:77::DecisionAuditWriter; engine/audit.py:115::record_decision,players/humanlike/evaluator.py:70::analyze_action; players/humanlike/player.py:111::analyze_action; players/humanlike/evaluator.py:66::visible_hand; players/humanlike/hand_analyzer.py:52::visible_hand; players/humanlike/hand_analyzer.py:80::HandFeatures; engine/score.py:124::shanten,tests/humanlike_v2/test_audit_replay.py; tests/test_shanten.py; tests/test_win_fan.py,tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action; tests/test_shanten.py::test_s02_winning_standard_shanten_neg1; tests/test_shanten.py::test_s01_tenpai_shanten_0; tests/test_shanten.py::test_s03_seven_pairs_tenpai; tests/test_shanten.py::test_s04_dingque_raises_shanten; tests/test_win_fan.py::test_w01_standard_win; tests/test_win_fan.py::test_w02_seven_pairs,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_5_ACCEPTANCE_2026-07-29.md::自动验收/9294决策复演（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：按既有仓库兼容落地，未创建平行 `src/`，这是批准过的实现差异,无已识别硬阻塞,P1,完成,engine/protocols/players/training,按既有仓库兼容落地，未创建平行 `src/`，这是批准过的实现差异
AU-094,实施顺序,规则→视图隔离→基础策略→认知→训练,程序实现规范：第 11—19 章 / 17. 实施顺序,无直接GP/RP；实施顺序,players/humanlike/cognition.py; players/humanlike/policy.py; training/env.py; training/action_codec_v2.py; training/observations_v2.py; training/reward_v2.py; training/metrics_v2.py,players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round; players/humanlike/cognition.py:81::update_memory; players/humanlike/policy.py:76::select_cognitively; players/humanlike/policy.py:23::CognitiveDecision; training/env.py:54::ChengduMahjongEnv; training/env.py:130::reset; training/env.py:200::step,players/humanlike/player.py:82::begin_new_round; players/humanlike/player.py:122::update_memory; players/humanlike/player.py:135::select_cognitively; players/humanlike/policy.py:172::CognitiveDecision; training/env.py:752::ChengduMahjongEnv; training/spaces.py:1::ChengduMahjongEnv,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_training_contract_v2.py,tests/humanlike_v2/test_cognition.py::test_mandatory_action_never_consumes_rng; tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_clear_score_gap_disables_noise_and_think_time_is_bounded; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/humanlike_v2/test_training_contract_v2.py::test_v2_observation_shapes_and_no_hidden_fields; tests/humanlike_v2/test_training_contract_v2.py::test_v2_fixed_index_and_shaping_off; tests/humanlike_v2/test_training_contract_v2.py::test_v2_shaping_is_separate_from_true_score; tests/humanlike_v2/test_training_contract_v2.py::test_illegal_raise_preserves_state_and_terminate_penalizes,docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：实施顺序和门禁符合规范,无已识别硬阻塞,P1,完成,F0028-1～6 历史,实施顺序和门禁符合规范
AU-095,版本与兼容,三版本分线、未知组合拒绝、发布物含 schema/测试/迁移,程序实现规范：第 11—19 章 / 18. 版本/兼容,GP-001,players/humanlike/config.py; engine/persistence.py,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; engine/persistence.py:21::save_game; engine/persistence.py:55::load_game,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; engine/orchestrator.py:322::save_game; main.py:110::load_game,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,版本读取与迁移完成；尚未形成包含本次全部审计材料的正式发布包/tag,无已识别硬阻塞,P0,部分完成,config compatibility、version.py、acceptance docs,版本读取与迁移完成；尚未形成包含本次全部审计材料的正式发布包/tag
AU-096,完成定义,配置驱动、守恒、无泄漏、确定响应、可审计、全追踪、有限认知、复现、全测试,程序实现规范：第 11—19 章 / 19. 完成定义,"GP-001～GP-027, RP-001～RP-033",protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json,protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw; players/humanlike/view.py:66::build_decision_context; players/humanlike/view.py:19::DecisionContext,protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict; players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping; players/humanlike/player.py:93::build_decision_context,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,核心不变量满足；因配置分支、逐章对照、训练模式和效果验证缺口，不满足“全部完成”的严格定义,无已识别硬阻塞,P0,部分完成,当前证据综合,核心不变量满足；因配置分支、逐章对照、训练模式和效果验证缺口，不满足“全部完成”的严格定义
